Date,cons,RF
196303,0.008134355,0.711680322
196306,0.014423279,0.72172838
196309,0.008428333,0.792080822
196312,0.016165609,0.852409271
196403,0.015687912,0.872518418
196406,0.015339181,0.852406262
196409,0.009668538,0.862466352
196412,0.010755412,0.892641607
196503,0.013100663,0.942931024
196506,0.01405971,0.973134364
196509,0.023538955,0.953010171
196512,0.009211008,0.993266581
196603,0.010378089,1.114109054
196606,0.007795682,1.134249297
196609,0.006201388,1.16448074
196612,0.009814042,1.2552072
196703,0.0088982,1.184635037
196706,0.008641625,0.922813851
196709,0.007067597,0.942948075
196712,0.016941996,1.083883633
196803,0.014330722,1.174567928
196806,0.013740412,1.315727321
196809,0.007312807,1.335894669
196812,0.00949122,1.295553946
196903,0.00891366,1.457003215
196906,0.006577686,1.527707974
196909,0.010470569,1.65905243
196912,0.01002915,1.770307968
197003,0.00390451,1.800695204
197006,0.009920841,1.61863937
197009,0.007232857,1.598440882
197012,0.005990513,1.345988887
197103,0.00751064,1.013387762
197106,0.00562942,0.942924004
197109,0.012734675,1.245105956
197112,0.012350721,1.114112065
197203,0.016759398,0.812184957
197206,0.013486119,0.882583523
197209,0.018049304,0.942942057
197212,0.0105422,1.144334476
197303,0.003042448,1.315722298
197306,0.005965205,1.547918525
197309,0.001255642,2.033622464
197312,-0.005515783,1.861407296
197403,0.004766014,1.780450462
197406,0.004295597,2.11465875
197409,0.001563455,2.12476402
197412,0.007062997,1.760123278
197503,0.014920142,1.426645225
197506,0.006224807,1.295551938
197509,0.009228013,1.497404211
197512,0.01414235,1.456963021
197603,0.009255563,1.214844392
197606,0.010681358,1.224957682
197609,0.012646002,1.335898686
197612,0.008331771,1.21488656
197703,0.002534598,1.093962788
197706,0.008935856,1.154411624
197709,0.012981483,1.295553946
197712,0.012104492,1.487313005
197803,0.012758474,1.487300946
197806,0.007342754,1.598438872
197809,0.007511274,1.750099443
197812,0.008586919,2.175561128
197903,0.003717817,2.32781653
197906,0.006120643,2.449735136
197909,0.007407512,2.388760211
197912,0.001042561,2.836364824
198003,-0.008485831,2.927655152
198006,0.007355986,2.702895257
198009,0.011884019,1.93219244
198012,-0.001495707,3.254260472
198103,0.006100506,3.356793649
198106,0.00076496,3.62269267
198109,0.002629494,3.807316813
198112,0.004242107,3.182895639
198203,0.003436154,2.724288128
198206,0.006695379,3.183116989
198209,0.013864788,2.337251698
198212,0.010331939,1.901915904
198303,0.012993986,1.952557951
198306,0.014795545,2.084311823
198309,0.010786245,2.277066742
198312,0.003880183,2.206016836
198403,0.011822347,2.216166391
198406,0.009083584,2.358290385
198409,0.00999981,2.531054532
198412,0.01457807,2.38841872
198503,0.00875307,1.861419374
198506,0.011893404,1.942368136
198509,0.008230325,1.78045046
198512,0.00651707,1.922180772
198603,0.006836704,1.699525808
198606,0.006559959,1.53781325
198609,0.010116621,1.436812764
198612,0.01192096,1.345967791
198703,0.00922747,1.325809488
198706,0.006612179,1.305616026
198709,0.007392038,1.386356729
198712,0.012759299,1.34581319
198803,0.008573011,1.19463987
198806,0.012697885,1.467110495
198809,0.008906469,1.729847656
198812,0.006156937,1.820932905
198903,0.003318641,1.841149479
198906,0.007496691,2.18569658
198909,0.009908598,2.10457367
198912,0.003375175,1.993077621
199003,0.009076779,1.790565794
199006,0.006248043,2.01335256
199009,-0.004466034,1.952554928
199012,-0.000425828,1.861399256
199103,0.008798431,1.446906982
199106,0.003624725,1.426701462
199109,0.002039846,1.416634368
199112,0.015859942,1.194722224
199203,0.006821703,0.963063237
199206,0.009317617,0.922818867
199209,0.010777512,0.832290096
199212,0.003063931,0.741818481
199303,0.005791248,0.701632265
199306,0.011087324,0.71167932
199309,0.00657831,0.75187556
199312,0.009546742,0.701632265
199403,0.007311816,0.731768417
199406,0.00714458,0.892637595
199409,0.007158214,1.023444833
199412,0.005999874,1.194712186
199503,0.008570164,1.285459728
199506,0.006301395,1.456993167
199509,0.005440153,1.356080094
199512,0.008965251,1.386344673
199603,0.007575434,1.21488154
199606,0.005860795,1.285459728
199609,0.006231022,1.305637118
199612,0.008087654,1.295547921
199703,0.005667138,1.275374547
199706,0.012923867,1.295518796
199709,0.009874453,1.285466757
199712,0.010340911,1.295533862
199803,0.012649758,1.21488154
199806,0.010655243,1.245130052
199809,0.007651342,1.295545912
199812,0.010855231,1.01338977
199903,0.009430531,1.134240268
199906,0.009257547,1.114103032
199909,0.014998119,1.16449078
199912,0.009104605,1.194710178
200003,0.014091391,1.315719286
200006,0.008668871,1.3661492
200009,0.008772079,1.49741024
200012,0.00205322,1.57822028
200103,0.002804474,1.345924618
200106,0.00221659,0.993239494
200109,0.004725999,0.892640604
200112,0.005352098,0.540959561
200203,0.004945318,0.400533237
200206,0.0037205,0.420587273
200209,0.008023879,0.430616294
200212,0.00520512,0.370454185
200303,0.006147985,0.29028009
200306,0.010243952,0.29028009
200309,0.005606743,0.220161039
200312,0.007604596,0.220161039
200403,0.00674867,0.220159038
200406,0.008818561,0.220160038
200409,0.009643305,0.320341121
200412,0.006017486,0.420581264
